trait	family	original_file	build	sep	has_header	header_override	col_chr	col_bp	col_snp	col_a1	col_a2	effect_type	col_effect	col_se	p_type	col_p	col_log10p	col_n	col_n_case	col_n_control	notes	N_const	N_case_const	N_control_const	trait_type	effect_scale	pop_prev
IBS	FinnGen_R12	data/original/summary_stats_release_finngen_R12_K11_IBS.gz	hg38	TAB	FALSE	"chrom,pos,ref,alt,rsids,nearest_genes,pval,mlogp,beta,sebeta,af_alt,af_alt_cases,af_alt_controls"	chrom	pos	rsids	alt	ref	BETA	beta	sebeta	P	pval					FinnGen R12 headerless file (audit comment_preview provides schema)	408353	13628	394725	binary	logit	0.11
Fibromyalgia	FinnGen_R12	data/original/fibromyalgia_finngen_r12.txt.gz	hg38	TAB	FALSE	"chrom,pos,ref,alt,rsids,nearest_genes,pval,mlogp,beta,sebeta,af_alt,af_alt_cases,af_alt_controls"	chrom	pos	rsids	alt	ref	BETA	beta	sebeta	P	pval					FinnGen R12 headerless file (audit comment_preview provides schema)	361172	3623	357549	binary	logit	0.02
Migraine	FinnGen_R12	data/original/summary_stats_release_finngen_R12_G6_MIGRAINE.gz	hg38	TAB	FALSE	"chrom,pos,ref,alt,rsids,nearest_genes,pval,mlogp,beta,sebeta,af_alt,af_alt_cases,af_alt_controls"	chrom	pos	rsids	alt	ref	BETA	beta	sebeta	P	pval					FinnGen R12 headerless file (audit comment_preview provides schema)	357295	28504	328791	binary	logit	0.15
MigAura	FinnGen_R12	data/original/summary_stats_release_finngen_R12_G6_MIGRAINE_WITH_AURA.gz	hg38	TAB	FALSE	"chrom,pos,ref,alt,rsids,nearest_genes,pval,mlogp,beta,sebeta,af_alt,af_alt_cases,af_alt_controls"	chrom	pos	rsids	alt	ref	BETA	beta	sebeta	P	pval					FinnGen R12 migraine with aura headerless file	357295	12169	345126	binary	logit	0.013
Chronic_Pain	UKB_BOLTLMM_BETA	data/original/johnson2019_chronic_pain-bgen.stats.gz	hg19	TAB	TRUE		CHR	BP	SNP	ALLELE1	ALLELE0	BETA	BETA	SE	P	P_BOLT_LMM_INF					Johnston 2019 UKB BOLT-LMM MCP; use P_BOLT_LMM_INF	387649			continuous	linear	
ADHD	PGC_DANER_OR	data/original/adhd_pgc_demontis.txt.gz	hg19	TAB	TRUE		CHR	BP	SNP	A1	A2	OR	OR	SE	P	P			Nca	Nco	PGC/iPSYCH ADHD 2019 (daner); BETA=log(OR)	55374	20183	35191	binary	logit	0.0258
PTSD	PGC_DANER_OR	data/original/ptsd_eur_freeze2_overall.results.gz	hg19	TAB	TRUE		CHR	BP	SNP	A1	A2	OR	OR	SE	P	P			Nca	Nco	PTSD Freeze 2 (daner); BETA=log(OR)	174659	23212	151447	binary	logit	0.068
SCZ	PGC_BETA	data/original/scz_pgc_wave3.txt.gz	hg19	TAB	TRUE		CHROM	POS	ID	A1	A2	BETA	BETA	SE	P	PVAL		NEFF	NCAS	NCON	PGC3 SCZ wave3; metadata indicates BETA is beta or ln(OR) for discrete trait	130644	53386	77258	binary	logit	0.0062
ALS	CONSORTIUM_HARMONISED	data/original/als_projectmine.txt.gz	hg38	TAB	TRUE		chromosome	base_pair_location	hm_rsid	effect_allele	other_allele	BETA	beta	standard_error	P	p_value					Harmonised consortium-style; liftover hg38→hg19	138086	27205	110881	binary	logit	0.0029
Alzheimers	CONSORTIUM_HARMONISED	data/original/alzheimers_bellenguez.txt.gz	hg38	TAB	TRUE		chromosome	base_pair_location	hm_rsid	effect_allele	other_allele	BETA	beta	standard_error	P	p_value			n_cas	n_con	Harmonised AD file; liftover hg38→hg19	487511	85934	401577	binary	logit	0.05
Tinnitus	FinnGen_R12	data/original/tinnitus_finngen_r12.txt.gz	hg38	TAB	FALSE	"chrom,pos,ref,alt,rsids,nearest_genes,pval,mlogp,beta,sebeta,af_alt,af_alt_cases,af_alt_controls"	chrom	pos	rsids	alt	ref	BETA	beta	sebeta	P	pval					FinnGen tinnitus; headerless; useful for outside-core tests	447339	10008	437331	binary	logit	0.034
Depression	UKB_BOLTLMM_BETA	data/original/depression_GCST90726344.h.tsv.gz	Hg38	TAB	TRUE		chromosome	base_pair_location	Rsid	effect_allele	other_allele	beta	beta	standard_error	P	p_value						514455	151582	362873	binary	logit	0.15
MECFS	DecodeME_REGENIE	data/original/mecfs_summary_stats.gz	Hg38	TAB	TRUE		#chrom	pos	Rsid	alt	ref	beta	beta	stderr_beta	LOG10P		neg_log_pvalue					275488	15579	259909	binary	logit	0.01
